ID	Frameset	Arg	Func	Descr
17238	photograph.01	ARG1	PPT	subject
17239	photosynthesize.01	ARG0	PAG	causer of change (ie plant, cloroplast)
17240	photosynthesize.01	ARG1	PPT	entity undergoing change (ie light energy)
17241	photosynthesize.01	ARG2	PRD	resulting state, arg1 converted into (ie chemical energy)
17242	photosynthesize.01	ARG3	GOL	benefactive, when seperate from arg0
17243	phrase.01	ARG0	PAG	person phrasing, expressing something
17244	phrase.01	ARG1	PPT	thing phrased, expressed
17245	phrase.01	ARG2	PRD	phrased as what? how arg1 is phrased
17246	physical.01	ARG0	PAG	examiner
17247	physical.01	ARG1	PPT	examined
17248	physiologic.01	ARG1	PPT	physiologic thing
17249	pick.01	ARG0	PAG	picker
17250	pick.01	ARG1	PPT	thing picked
17251	pick.01	ARG2	DIR	group or source
17252	pick.01	ARG3	GOL	benefactive
17253	pick.09	ARG0	PAG	picker
17254	pick.09	ARG1	PPT	thing picked (at)
17255	pick.10	ARG0	PAG	Agent, picker
17256	pick.10	ARG1	PPT	Patient, thing picked at
17257	pick_on.02	ARG0	PAG	bully
17258	pick_on.02	ARG1	PPT	bullied
17259	pick_out.03	ARG0	PAG	picker
17260	pick_out.03	ARG1	PPT	thing picked
17261	pick_out.03	ARG2	DIR	group or source
17262	pick_up.04	ARG0	PAG	agent, entity acquiring something
17263	pick_up.04	ARG1	PPT	thing acquired
17264	pick_up.04	ARG2	DIR	seller
17265	pick_up.04	ARG3	VSP	price paid
17266	pick_up.04	ARG4	GOL	benefactive
17267	pick_up.05	ARG1	PPT	thing increasing
17268	pick_up.05	ARG2	EXT	amount increased by, EXT or MNR
17269	pick_up.05	ARG3	DIR	start point
17270	pick_up.05	ARG4	GOL	end point
17271	pick_up.06	ARG0	PAG	agent of resuming
17272	pick_up.06	ARG1	PPT	thing resuming or continuing
17273	pick_up.11	ARG0	PAG	finder
17274	pick_up.11	ARG1	PPT	thing found, discovery
17275	pick_away.07	ARG0	PAG	remover, picker, agent
17276	pick_away.07	ARG1	PPT	thing picked away at
17277	pick_off.08	ARG0	PAG	remover, agent
17278	pick_off.08	ARG1	PPT	pieces
17279	pick_off.08	ARG2	DIR	source
17280	pick_off.12	ARG0	PAG	sniper
17281	pick_off.12	ARG1	PPT	target
17282	picket.01	ARG0	PAG	picketer
17283	picket.01	ARG1	PPT	unpleasant entity
17284	pickle.01	ARG0	PAG	agent, pickler
17285	pickle.01	ARG1	PPT	thing becoming pickled
17286	pickpocket.01	ARG0	PAG	pickpocket, thief
17287	pickpocket.01	ARG1	PPT	thing taken
17288	pickpocket.01	ARG2	DIR	person pickpocketed
17289	pickpocket.01	ARG3	GOL	taken for
17290	picnic.01	ARG0	PAG	eater
17291	picnic.01	ARG1	PPT	eaten
17292	picture.01	ARG0	PAG	displayer, agent
17293	picture.01	ARG1	PPT	thing pictured
17294	take_picture.02	ARG0	PAG	photographer
17295	take_picture.02	ARG1	PPT	subject
17296	piece.01	ARG0	PAG	assembler, agent
17297	piece.01	ARG1	PPT	entity pieced
17298	piece.01	ARG2	DIR	pieces
17299	piece.01	ARG3	PRD	together
17300	pierce.01	ARG0	PAG	piercer
17301	pierce.01	ARG1	PPT	material pierced
17302	pierce.01	ARG2	MNR	instrument, if arg0 is agent and also present
17303	pierce.01	ARG3	GOL	what's on other side of material
17304	pigeonhole.01	ARG0	PAG	agent, person assigning another entity a definite role/place
17305	pigeonhole.01	ARG1	PPT	entity pigeonholed, assigned a role/place
17306	pigeonhole.01	ARG2	PRD	pigenholed as what? role or position assigned/describing arg 1
17307	piggyback.01	ARG0	PAG	rider
17308	piggyback.01	ARG1	PPT	thing ridden (the piggy?)
17309	pigment.01	ARG0	PAG	Agent, person adding pigment
17310	pigment.01	ARG1	PPT	Thing pigment is added to
17311	pigment.01	ARG2	PRD	Pigment/color substance, if explicit
17312	pilates.01	ARG0	PAG	exerciser
17313	pile.01	ARG0	PAG	piler
17314	pile.01	ARG1	PPT	substance being piled
17315	pile.01	ARG2	GOL	explicit mention of pile, or destination/location
17316	pile.03	ARG1	PPT	entity in motion
17317	pile.03	ARG2	GOL	destination
17318	pile_up.02	ARG0	PAG	agent of piling
17319	pile_up.02	ARG1	PPT	substance being piled
17320	pile_on.04	ARG0	PAG	agent of piling
17321	pile_on.04	ARG1	PPT	substance being piled
17322	pile_on.04	ARG2	GOL	explicit mention of pile
17323	pilfer.01	ARG0	PAG	thief, agent
17324	pilfer.01	ARG1	PPT	thing stolen
17325	pilfer.01	ARG2	DIR	stolen from
17326	pilfer.01	ARG3	GOL	sloten for
17327	pilgrimage.01	ARG0	PAG	pilgrim, traveller
17328	pillory.01	ARG0	PAG	causer
17329	pillory.01	ARG1	PPT	entity pilloried
17330	pilot.01	ARG0	PAG	pilot; tester
17331	pilot.01	ARG1	GOL	plane; program
17332	pimp.01	ARG0	PAG	pimp
17333	pimp.01	ARG1	PPT	prostitute
17334	pimp.01	ARG2	VSP	price paid
17335	pimp.01	ARG3	GOL	sex buyer
17336	pimp.02	ARG0	PAG	decorator, agent
17337	pimp.02	ARG1	PPT	thing decorated
17338	pimp.02	ARG2	MNR	embellishments
17339	pimp_out.03	ARG0	PAG	pimp
17340	pimp_out.03	ARG1	PPT	prostitute
17341	pimp_out.03	ARG2	VSP	price paid
17342	pimp_out.03	ARG3	GOL	buyer of services
17343	pimp_out.04	ARG0	PAG	decorator, agent
17344	pimp_out.04	ARG1	PPT	thing decorated
17345	pimp_out.04	ARG2	MNR	embellishments
17346	pin.01	ARG0	PAG	agent, entity causing two objects to be attached
17347	pin.01	ARG1	PPT	first thing being pinned
17348	pin.01	ARG2	PPT	second thing, pinned to what
17349	pin.01	ARG3	MNR	instrument, pin
17350	pin_down.02	ARG0	PAG	agent, entity causing two objects to be attached
17351	pin_down.02	ARG1	PPT	first thing being pinned
17352	pin_down.02	ARG2	PPT	second thing, pinned to what
17353	pin_down.02	ARG3	MNR	instrument
17354	pinch.01	ARG0	PAG	pincher, agent
17355	pinch.01	ARG1	PPT	thing touched
17356	pinch.01	ARG2	MNR	touched with, if separate from agent
17357	pinch.02	ARG0	PAG	thief, agent
17358	pinch.02	ARG1	PPT	thing stolen
17359	pinch.02	ARG2	DIR	stolen from
17360	pinch.04	ARG0	PAG	person avoiding spending
17361	pinch.04	ARG1	GOL	purpose of saving
17362	pinch.05	ARG0	PAG	police, person doing the arresting
17363	pinch.05	ARG1	PPT	person captured, pinched
17364	pinch.05	ARG2	CAU	crime; pinched for what?
17365	pine.01	ARG0	PAG	piner
17366	pine.01	ARG1	PPT	thing desired
17367	pine_away.02	ARG0	PAG	piner
17368	pine_away.02	ARG1	PPT	thing desired
17369	ping.01	ARG0	PPT	pinger
17370	pinion.01	ARG0	PAG	binder
17371	pinion.01	ARG1	PPT	entity being bound
17372	pink.01	ARG0	PPT	entity making the pinking noise
17373	pink.02	ARG0	PAG	agent, person holding the shears
17374	pink.02	ARG1	PPT	patient, fabric being cut
17375	pink.02	ARG2	MNR	pinking shears
17376	pink.03	ARG0	PAG	agent, one making the holes
17377	pink.03	ARG1	PPT	entity being punctured
17378	pink.03	ARG2	MNR	instrument, sharp object
17379	pink.03	ARG4	PPT	holes
17380	pink.04	ARG0	PAG	causer of pinkness
17381	pink.04	ARG1	PPT	pink thing
17382	pink.04	ARG2	VSP	specific aspect of arg1 that is pink
17383	pinktan.01	ARG1	PPT	thing with a pink-tan color
17384	pinpoint.01	ARG0	PAG	decider
17385	pinpoint.01	ARG1	PPT	thing decided
17386	pioneer.01	ARG0	PAG	thinker
17387	pioneer.01	ARG1	GOL	new idea
17388	pip.01	ARG0	PAG	remover
17389	pip.01	ARG1	DIR	entity having something removed (usually a bird)
17390	pip.01	ARG2	PPT	scale, object removed
17391	pipe.01	ARG0	PAG	causer of motion
17392	pipe.01	ARG1	PPT	thing in motion
17393	pipe.01	ARG2	GOL	destination
17394	pipe.01	ARG3	DIR	source
17395	pipe_up.02	ARG0	PAG	speaker
17396	pipe_up.02	ARG1	PPT	utterance
17397	pipe_down.03	ARG0	PAG	(non-) speaker
17398	pique.01	ARG0	PAG	causative agent
17399	pique.01	ARG1	PPT	thing piqued (usually interest)
17400	pique.01	ARG2	CAU	causative instrument (if agent already present)
17401	pirate.01	ARG0	PAG	pirate, thief, agent
17402	pirate.01	ARG1	PPT	thing stolen
17403	pirate.01	ARG2	DIR	stolen from
17404	pirouette.01	ARG0	PAG	agent, causer of pirouette (transitive subject)
17405	pirouette.01	ARG1	PPT	pirouetter, theme (intransitive subject, transitive object)
17406	pirouette.01	ARG2	LOC	location of pirouette
17407	piss.01	ARG0	PAG	pisser
17408	piss.03	ARG0	PAG	agent/cause of anger
17409	piss.03	ARG1	PPT	angry entity
17410	piss.03	ARG2	MNR	additional reason for anger, if in addition to arg0
17411	piss.03	ARG3	EXT	intensifier
17412	piss_off.02	ARG0	PAG	Angering entity/event
17413	piss_off.02	ARG1	PPT	Angry party
17414	piss_off.02	ARG2	CAU	Provocation/Cause of anger
17415	pissed.04	ARG1	PAG	drunk one
17416	pissed.04	ARG2	PPT	on what
17417	pissy.05	ARG0	PAG	agent/cause
17418	pissy.05	ARG1	PPT	irritable one
17419	pissy.05	ARG2	MNR	additional reason for anger, if in addition to arg0
17420	pissy.05	ARG3	EXT	intensifier
17421	pit.01	ARG0	PAG	entity setting up a fight
17422	pit.01	ARG1	PPT	one combatant
17423	pit.01	ARG2	GOL	other combatant
17424	pit.02	ARG0	PAG	entity removing seeds
17425	pit.02	ARG1	DIR	seeds
17426	pit.03	ARG0	PAG	pitted by
17427	pit.03	ARG1	PPT	material pitted
17428	pitch.01	ARG0	PAG	thrower
17429	pitch.01	ARG1	PPT	thing thrown
17430	pitch.01	ARG2	GOL	thrown at, to, over, etc
17431	pitch.02	ARG0	PAG	setter of tone, agent
17432	pitch.02	ARG1	PPT	tone
17433	pitch.02	ARG2	VSP	value
17434	pitch.04	ARG0	PAG	advertiser, agent
17435	pitch.04	ARG1	PPT	thing touted
17436	pitch.04	ARG2	PRD	attribute of arg1
17437	pitch.04	ARG3	GOL	recipient
17438	pitch_in.03	ARG0	PAG	cooperators
17439	pitch_in.03	ARG1	PPT	thing added to the cooperation
17440	pitch_in.03	ARG2	GOL	cooperative work
17441	pith.01	ARG0	PAG	pither, agent
17442	pith.01	ARG1	DIR	pithed thing
17443	pith.01	ARG2	PPT	thing removed through pithing (rare)
17444	pity.01	ARG0	PPT	pitier
17445	pity.01	ARG1	PAG	thing pitied
17446	pitiful.02	ARG1	PPT	pitiful entity
17447	pivot.01	ARG0	PAG	agent, causer of rotation (rare)
17448	pivot.01	ARG1	PPT	thing turning
17449	pivot.01	ARG2	LOC	pivot point
17450	placate.01	ARG0	PAG	causer
17451	placate.01	ARG1	PPT	patient, made happy
17452	placate.01	ARG2	MNR	instrument or manner
17453	place.01	ARG0	PAG	putter
17454	place.01	ARG1	PPT	thing put
17455	place.01	ARG2	GOL	where put
17456	in_place.02	ARG1	PPT	established, set, enacted thing
17457	in_place.02	ARG2	PRD	attribute on arg1
17458	take_place.03	ARG1	PPT	thing occuring
17459	place_down.04	ARG0	PAG	agent
17460	place_down.04	ARG1	PPT	entity placed
17461	place_down.04	ARG2	GOL	destination
17462	plagiarize.01	ARG0	PAG	thief, agent
17463	plagiarize.01	ARG1	PPT	thing stolen
17464	plagiarize.01	ARG2	DIR	stolen from; source of information
17465	plague.01	ARG0	PAG	botherer, agent
17466	plague.01	ARG1	PPT	bothered
17467	plague.01	ARG2	MNR	bothered by, plagued with
17468	plain.01	ARG0	PAG	causer of clarity, evidence
17469	plain.01	ARG1	PPT	apparent thing
17470	plain.01	ARG2	GOL	to whom it is apparent
17471	plain.02	ARG1	PPT	unadorned entity
17472	plain.02	ARG2	VSP	specific aspect of arg1 that is plain
17473	plait.01	ARG0	PAG	agent
17474	plait.01	ARG1	PPT	hair,lace
17475	plait.01	ARG2	PRD	end result
17476	plan.01	ARG0	PAG	planner
17477	plan.01	ARG1	PPT	thing planned
17478	plan.01	ARG2	CAU	grounds for planning
17479	plan.01	ARG3	GOL	beneficiary
17480	plane.01	ARG0	PAG	one who planes, agent
17481	plane.01	ARG1	PPT	thing worked on
17482	plane.01	ARG2	PRD	end state, if different from arg1
17483	plank.01	ARG0	PAG	Plank-layer, agent
17484	plank.01	ARG1	GOL	surface being covered
17485	plank.01	ARG2	PPT	planks themselves, types of planks
17486	plank.02	ARG0	PAG	cook
17487	plank.02	ARG1	PPT	food
17488	plant.01	ARG0	PAG	putter, agent
17489	plant.01	ARG1	PPT	entity planted
17490	plant.01	ARG2	GOL	location
17491	plaque.01	ARG1	PPT	Entity accumulated, built up
17492	plaster.01	ARG0	PAG	agent
17493	plaster.01	ARG1	PPT	thing being plastered
17494	plaster.01	ARG2	GOL	thing secured to/ plastered on/to
17495	plaster.01	ARG3	MNR	instrument
17496	plate.01	ARG0	PAG	agent, plate installer
17497	plate.01	ARG1	PPT	recipient; entity recieving plate
17498	plate.01	ARG2	PRD	explicit mention of the plate or material
17499	plateau.01	ARG1	PPT	Entity reaching plateau
17500	platinum.01	ARG0	PAG	agent
17501	platinum.01	ARG1	PPT	recording/other media going platinum
17502	play.01	ARG0	PAG	player
17503	play.01	ARG1	PPT	game
17504	play.01	ARG2	MNR	instrument/equipment used to play game
17505	play.01	ARG3	COM	opponent, play against whom
17506	play.02	ARG0	PAG	actor
17507	play.02	ARG1	PPT	role
17508	play.08	ARG0	PAG	thing factoring in, subject in active clauses
17509	play.08	ARG1	PPT	thing being factored into
17510	play.10	ARG0	PAG	Trickster
17511	play.10	ARG1	PPT	mention of trick
17512	play.10	ARG2	GOL	tricked, who trick was played on
17513	play.11	ARG0	PAG	performer, player
17514	play.11	ARG1	PPT	thing performed (song, etc)
17515	play.11	ARG2	MNR	musical instrument/style
17516	play_out.03	ARG0	PAG	agent, entity causing something to complete
17517	play_out.03	ARG1	PPT	thing coming to completion
17518	play_up.04	ARG0	PAG	emphasizer, agent
17519	play_up.04	ARG1	PPT	topic of discussion
17520	play_down.07	ARG0	PAG	deemphasizer, agent
17521	play_down.07	ARG1	PPT	topic of discussion
17522	play_off.05	ARG0	PAG	manipulator
17523	play_off.05	ARG1	PPT	one victim
17524	play_off.05	ARG2	PPT	the other victim
17525	play_to.06	ARG0	PAG	causer of pleasing, agent
17526	play_to.06	ARG1	PPT	entity being pleased
17527	play_on.09	ARG0	PAG	manipulator
17528	play_on.09	ARG1	PPT	one victim
17529	play_on.09	ARG2	PPT	the other victim
17530	playbyplay.01	ARG0	PAG	entity providing the play-by-play
17531	playbyplay.01	ARG1	PPT	event described in this manner
17532	playfight.01	ARG0	PAG	First playfighter (or all if together)
17533	playfight.01	ARG1	PPT	second playfighter
17534	playwriting.01	ARG0	PAG	playwrite
17535	playwriting.01	ARG1	PPT	play
17536	plead.01	ARG0	PAG	begger, appealer
17537	plead.01	ARG1	GOL	appealed to, begged from
17538	plead.01	ARG2	PRP	begged/appealed for
17539	plead.02	ARG0	PAG	the accused
17540	plead.02	ARG1	PPT	guilty or innocent
17541	plead.02	ARG2	GOL	alleged crime
17542	please.01	ARG0	PAG	agent, pleaser
17543	please.01	ARG1	PPT	patient, entity pleased
17544	please.01	ARG2	MNR	instrumental
17545	pleasant.02	ARG1	PPT	pleasant thing
17546	pleasant.02	ARG2	PPT	pleasant to/for whom?
17547	pleasure.01	ARG0	PAG	pleasure giver
17548	pleasure.01	ARG1	PPT	pleasure experiencer
17549	pledge.01	ARG0	PAG	promiser
17550	pledge.01	ARG1	GOL	person promised to
17551	pledge.01	ARG2	PPT	promised thing or action
17552	pleomorphic.01	ARG1	PPT	pleomorphic entity
17553	pleurodesis.01	ARG0	PAG	surgeon
17554	pleurodesis.01	ARG1	LOC	which lung
17555	pleurodesis.01	ARG2	GOL	beneficiary (undergoer of procedure)
17556	plink.01	ARG0	PAG	agent, causer of plinking (transitive subject only)
17557	plink.01	ARG1	PPT	thing emitting plinking sound, theme
17558	plink.01	ARG2	LOC	location of plinking
17559	plod.01	ARG0	PAG	walker, plodder
17560	plod.01	ARG1	PPT	path
17561	plonk.01	ARG0	PAG	agent, causer of plonking ((active voice) transitive subject only)
17562	plonk.01	ARG1	PPT	thing emitting plonking noise, theme
17563	plonk.01	ARG2	LOC	location of plonking
17564	plop.01	ARG0	PAG	agent, person purposefully doing the dropping
17565	plop.01	ARG1	PPT	thing being dropped
17566	plop.01	ARG2	GOL	location/destination of the thing being dropped
17567	plot.01	ARG0	PAG	plotter(s), agent
17568	plot.01	ARG1	PPT	plotted action, plan
17569	plot.01	ARG2	GOL	malefactive, plotted against
17570	plot_out.02	ARG0	PAG	planner, agent
17571	plot_out.02	ARG1	PPT	entity plotted
17572	plow.01	ARG0	PAG	plower
17573	plow.01	ARG1	PPT	plowed
17574	plow.01	ARG2	DIR	plowed where
17575	pluck.01	ARG0	PAG	remover, agent
17576	pluck.01	ARG1	PPT	entity plucked
17577	pluck.01	ARG2	DIR	plucked from
17578	plug.02	ARG0	PAG	advertiser
17579	plug.02	ARG1	PPT	advertised
17580	plug.04	ARG0	PAG	plugger
17581	plug.04	ARG1	PPT	(thing with) plug
17582	plug.04	ARG2	GOL	socket
17583	plug_up.01	ARG0	PAG	causer of blockage
17584	plug_up.01	ARG1	GOL	thing becoming blocked
17585	plug_up.01	ARG2	PPT	plug
17586	plug_in.03	ARG0	PAG	plugger
17587	plug_in.03	ARG1	PPT	(thing with) plug
17588	plumb.01	ARG0	PAG	agent, explorer
17589	plumb.01	ARG1	LOC	person/place/thing explored
17590	plumb.01	ARG2	PPT	in search of
17591	plumb.02	ARG0	PAG	agent
17592	plumb.02	ARG1	GOL	thing weighted
17593	plumb.02	ARG2	PPT	lead weight
17594	plumb.03	ARG0	PAG	agent
17595	plumb.03	ARG1	PPT	thing being made vertical
17596	plumb.03	ARG2	GOL	thing aligned to
17597	plumb.04	ARG0	PAG	plumber
17598	plumb.04	ARG1	PPT	thing being plumbed
17599	plumb.04	ARG2	DIR	start point of the plumbing
17600	plumb.04	ARG3	GOL	end point of the plumbing
17601	plummet.01	ARG1	PPT	Logical subject, patient, thing falling
17602	plummet.01	ARG2	EXT	EXT, amount fallen
17603	plummet.01	ARG3	DIR	start point
17604	plummet.01	ARG4	GOL	end point, end state of arg1
17605	plummet.01	ARGm	LOC	medium
17606	plump.01	ARG0	PAG	causal agent
17607	plump.01	ARG1	PPT	thing becoming plump
17608	plump.01	ARG2	MNR	plumping agent (instrument)
17609	plunder.01	ARG0	PAG	Plunderer, robber
17610	plunder.01	ARG1	DIR	Plundered, entity from which goods are taken
17611	plunder.01	ARG2	PPT	Goods taken by plundering
17612	plunge.01	ARG1	PPT	Logical subject, patient, thing falling
17613	plunge.01	ARG2	EXT	EXT, amount fallen
17614	plunge.01	ARG3	DIR	start point
17615	plunge.01	ARG4	GOL	end point, end state of arg1
17616	plunge.01	ARG5	PRD	medium
17617	plunge.02	ARG0	PAG	placer, causer of immersion
17618	plunge.02	ARG1	PPT	thing being immersed
17619	plunge.02	ARG2	LOC	in what
17620	plunk.01	ARG0	PAG	agent, putter
17621	plunk.01	ARG1	PPT	thing put
17622	plunk.01	ARG2	GOL	where put
17623	plural.01	ARG1	PPT	plural entity
17624	ply.01	ARG0	PAG	provider
17625	ply.01	ARG1	GOL	entity getting stuff
17626	ply.01	ARG2	PPT	stuff
17627	ply.02	ARG0	PAG	worker
17628	ply.02	ARG1	PPT	business/trade/skill
17629	ply.03	ARG0	PAG	agent, pry-er
17630	ply.03	ARG1	PPT	thing pried
17631	ply.03	ARG2	PRD	end state/attribute of arg1
17632	pm.01	ARG0	PAG	message sender
17633	pm.01	ARG1	PPT	the message
17634	pm.01	ARG2	GOL	message recipient
17635	pneumatize.01	ARG0	PAG	cause/agent
17636	pneumatize.01	ARG1	GOL	thing filled with air
17637	pneumatize.01	ARG2	PPT	air
17638	poach.01	ARG0	PAG	cook
17639	poach.01	ARG1	PPT	food cooked
17640	poach.01	ARG2	MNR	water
17641	poach.02	ARG0	PAG	hunter
17642	poach.02	ARG1	PPT	prey
17643	pocket.01	ARG0	PAG	taker, agent
17644	pocket.01	ARG1	PPT	thing taken
17645	line_pocket.02	ARG0	PAG	thief, taker of money
17646	line_pocket.02	ARG1	PPT	money stolen or selfishly acquired
17647	line_pocket.02	ARG2	MNR	activity during which money is taken
17648	in_pocket.03	ARG0	PAG	possessor
17649	in_pocket.03	ARG1	PPT	person in pocket, bribed person
17650	out_of_pocket.04	ARG0	PAG	person paying
17651	out_of_pocket.04	ARG1	PPT	expenses, thing not being re-imbursed
17652	out_of_pocket.04	ARG2	PPT	acitvities costing money
17653	out_of_pocket.05	ARG1	PAG	person unavailable
17654	out_of_pocket.05	ARG2	PPT	location or medium in which one is temporarily unavailable
17655	out_of_pocket.05	ARG3	CAU	activity causing out of pocket status
17656	in_ones_pocket.06	ARG0	PAG	influencer
17657	in_ones_pocket.06	ARG1	PPT	entity influenced
17658	pockmark.01	ARG0	PAG	cause of pox, agent
17659	pockmark.01	ARG1	PPT	pockmarked entity
17660	pod.01	ARG0	PAG	remover
17661	pod.01	ARG1	DIR	thing podded
17662	point.01	ARG0	PAG	pointer
17663	point.01	ARG1	PPT	thing pointed (defaults to finger)
17664	point.01	ARG2	GOL	pointed at (a variety of prepositions)
17665	point.03	ARG0	PAG	person with intensions
17666	point.03	ARG1	PPT	smaller actions that are intended for that goal
17667	point.03	ARG2	GOL	larger goal; the point itself
17668	point.04	ARG0	PAG	claimer, asserter
17669	point.04	ARG1	PPT	thing claimed, asserted
17670	point.04	ARG2	GOL	hearer
17671	point.05	ARG0	PAG	doer
17672	point.05	ARG1	PPT	thing done/accomplished
17673	point_out.02	ARG0	PAG	pointer
17674	point_out.02	ARG1	PPT	pointed at
17675	point_finger.06	ARG0	PAG	blamer
17676	point_finger.06	ARG1	PPT	entity blamed
17677	point_finger.06	ARG2	PRD	blame for what
17678	point_finger.06	ARG3	CAU	event providing evidence for the finger-pointing
17679	have_talking_point.07	ARG0	PAG	talker, one spouting talking points
17680	have_talking_point.07	ARG1	PPT	topic of talking points
17681	have_talking_point.07	ARG2	PRD	target audience, recipient
17682	have_talking_point.07	ARG3	PPT	actual talking points
17683	have_talking_point.07	ARG4	DIR	original source of talking points
17684	have_point_of_view.08	ARG0	PAG	Person who has a view point
17685	have_point_of_view.08	ARG1	PPT	topic of point of view
17686	have_point_of_view.08	ARG2	PRD	actual point of view or stance
17687	have_point_of_view.08	ARG3	PRD	kind of point of view; characterization of viewer
17688	have_point.09	ARG0	PAG	Person who is correct
17689	have_point.09	ARG1	PPT	topic; right about what
17690	case_in_point.10	ARG0	PPT	example, individual case
17691	case_in_point.10	ARG1	PRD	of what; larger generalization
17692	pointless.01	ARG0	PAG	agent of pointless action
17693	pointless.01	ARG1	PPT	pointless action, thing
17694	pointless.02	ARG1	PAG	thing without a pointy end
17695	pointless.03	ARG1	PPT	competition without points scored
17696	pointless.03	ARG2	GOL	team scoring no points
17697	pointless.03	ARG3	VSP	opposing team
17698	poise.01	ARG0	PAG	causer of balancing, agent
17699	poise.01	ARG1	PPT	entity poised
17700	poise.01	ARG2	PRP	poised for
17701	poison.01	ARG0	PAG	killer
17702	poison.01	ARG1	PPT	corpse
17703	poison.01	ARG2	MNR	poison
17704	poison.02	ARG0	PAG	applier
17705	poison.02	ARG1	GOL	poisoned substance
17706	poison.02	ARG2	PPT	poison
17707	poisonous.03	ARG1	PPT	entity susceptible to poison
17708	poisonous.03	ARG2	PAG	poison
17709	poke.01	ARG0	PAG	toucher, agent
17710	poke.01	ARG1	PPT	thing touched
17711	poke.01	ARG2	MNR	long slender object
17712	poke_around.02	ARG0	PAG	looker, searcher, agent
17713	poke_around.02	ARG1	LOC	place looked in
17714	poke_around.02	ARG2	PPT	thing looked for, goal
17715	polarize.01	ARG0	PAG	agent/cause of separation
17716	polarize.01	ARG1	PPT	first side or whole thing polarized
17717	polarize.01	ARG2	DIR	other side
17718	police.01	ARG0	PAG	police
17719	police.01	ARG1	GOL	thing or place being monitored
17720	policy.01	ARG0	PAG	entity holding the policy
17721	policy.01	ARG1	PPT	the policy
17722	policy.01	ARG2	VSP	policy regarding
17723	polish.01	ARG0	PAG	polisher
17724	polish.01	ARG1	PPT	thing getting shiny
17725	polish.01	ARG2	MNR	instrument
17726	polish.01	ARG3	PRD	end state, attribute
17727	polish.04	ARG1	PPT	polished entity
17728	polish_off.02	ARG0	PAG	finisher, agent
17729	polish_off.02	ARG1	PPT	thing finished
17730	polish_up.03	ARG0	PAG	polisher
17731	polish_up.03	ARG1	PPT	thing being polished
17732	polish_up.03	ARG2	MNR	instrument
17733	polish_up.03	ARG3	PRD	end state
17734	polite.01	ARG1	PPT	polite entity or action
17735	polite.01	ARG2	GOL	polite to whom?
17736	politicize.01	ARG0	PAG	cause, agent
17737	politicize.01	ARG1	PPT	issue
17738	political.02	ARG0	PAG	politician
17739	political.02	ARG1	PPT	political action, issue, thing
17740	politick.01	ARG0	PAG	politician
17741	politick.01	ARG1	ADJ	political domain
17742	polka.01	ARG0	PAG	agent, causer of polka-ing, (transitive subject only)
17743	polka.01	ARG1	PPT	polkaer(s), theme (intransitive subject, transitive object)
17744	polka.01	ARG2	LOC	location of polka-ing
17745	poll.01	ARG0	PAG	poller
17746	poll.01	ARG1	PPT	people asked
17747	poll.01	ARG2	PPT	topic
17748	pollinate.01	ARG0	PAG	fertilizer, agent
17749	pollinate.01	ARG1	PPT	plant  pollinated
17750	pollute.01	ARG0	PAG	causer
17751	pollute.01	ARG1	GOL	entity polluted
17752	polymerize.01	ARG0	PAG	Causer of polymerization, agent
17753	polymerize.01	ARG1	PPT	substance undergoing polymerization
17754	polymerize.01	ARG2	MNR	Instrument or manner if separate from arg 0
17755	polymerize.01	ARG3	PRD	Resulting substance
17756	polymicrobial.01	ARG1	PPT	polymicrobial thing
17757	polypectomy.01	ARG0	PAG	remover
17758	polypectomy.01	ARG1	PPT	removed
17759	polypectomy.01	ARG2	SRC	removed from (location, source)
17760	polypectomy.01	ARG3	SRC	more specific source, if in addition to ARG2
17761	polyploidize.01	ARG0	PAG	intentional agent of polyploidization (e.g. scientist)
17762	polyploidize.01	ARG1	PPT	thing polyploidized (e.g. cell, organism)
17763	polyploidize.01	ARG2	MNR	instrument
17764	polyploidize.01	ARG3	DIR	starting state (if arg1 is inappropriate)
17765	polyploidize.01	ARG4	PRD	result of polyploidization
17766	pomade.01	ARG0	PAG	applier of pomade, agent
17767	pomade.01	ARG1	GOL	hair, surface pomaded
17768	pomade.01	ARG2	PPT	pomade itself, type of pomade
17769	pond.01	ARG1	PPT	thing collecting (ie water)
17770	pond.01	ARG3	DIR	source
17771	pond.01	ARG4	GOL	end point, location of new pond
17772	ponder.01	ARG0	PAG	thinker
17773	ponder.01	ARG1	PPT	thought
17774	pontificate.01	ARG0	PAG	speaker (Pope)
17775	pontificate.01	ARG1	PPT	utterance
17776	pontificate.01	ARG2	GOL	listener
17777	pony.01	ARG0	PAG	entity leading
17778	pony.01	ARG1	PPT	entity lead
17779	pony_up.02	ARG0	PAG	payer
17780	pony_up.02	ARG1	PPT	money paid, asset
17781	pony_up.02	ARG2	GOL	recipient, person/org being paid
17782	pony_up.02	ARG3	CAU	commodity, arg2 was paid arg1 for what?
17783	poo.01	ARG0	PAG	person defecating
17784	poo.01	ARG1	PPT	thing pooped out, hopefully poop and understood
17785	poof_out.01	ARG0	PAG	causal agent
17786	poof_out.01	ARG1	PPT	thing extended
17787	poof_up.02	ARG0	PAG	causal agent
17788	poof_up.02	ARG1	PPT	thing increasing in size
17789	poohpooh.01	ARG0	PAG	Shower of disdain
17790	poohpooh.01	ARG1	PPT	disdainful thing
17791	pool.01	ARG0	PAG	collector(s), agent(s)
